Time X Y Z ID Radius Species
0 -1.22267e-06 -9.00328e-06 -3.20074e-06 0 1e-06 0
0 -1.77371e-06 -1.01522e-05 -2.97137e-06 1 1e-06 0
0 -1.36398e-06 -1.06064e-05 -3.12695e-06 2 1e-06 0
0 -2.44315e-06 -1.0325e-05 -2.99882e-06 3 1e-06 0
0 -1.41899e-06 -1.08755e-05 -3.937e-06 4 1e-06 0
0 -9.69452e-07 -1.08243e-05 -2.98384e-06 5 1e-06 0
0.05 -1.19722e-06 -8.94429e-06 -3.20692e-06 0 1e-06 0
0.05 -1.81552e-06 -1.01297e-05 -2.9457e-06 1 1e-06 0
0.05 -1.31992e-06 -1.06476e-05 -3.13388e-06 2 1e-06 0
0.05 -2.52485e-06 -1.0318e-05 -2.98477e-06 3 1e-06 0
0.05 -1.41392e-06 -1.08939e-05 -3.99844e-06 4 1e-06 0
0.05 -9.25539e-07 -1.08529e-05 -2.95358e-06 5 1e-06 0
0.1 -1.1517e-06 -8.83603e-06 -3.2222e-06 0 1e-06 0
0.1 -1.89745e-06 -1.00864e-05 -2.89812e-06 1 1e-06 0
0.1 -1.23351e-06 -1.07221e-05 -3.14965e-06 2 1e-06 0
0.1 -2.67021e-06 -1.02936e-05 -2.9616e-06 3 1e-06 0
0.1 -1.40557e-06 -1.09281e-05 -4.11374e-06 4 1e-06 0
0.1 -8.40195e-07 -1.08912e-05 -2.89474e-06 5 1e-06 0
0.15 -1.09025e-06 -8.70394e-06 -3.24723e-06 0 1e-06 0
0.15 -2.01488e-06 -1.00257e-05 -2.8298e-06 1 1e-06 0
0.15 -1.11952e-06 -1.08132e-05 -3.16965e-06 2 1e-06 0
0.15 -2.8562e-06 -1.02622e-05 -2.92623e-06 3 1e-06 0
0.15 -1.39656e-06 -1.09708e-05 -4.27613e-06 4 1e-06 0
0.15 -7.33355e-07 -1.09416e-05 -2.81488e-06 5 1e-06 0
0.2 -1.02444e-06 -8.56775e-06 -3.27557e-06 0 1e-06 0
0.2 -2.15648e-06 -9.95557e-06 -2.74487e-06 1 1e-06 0
0.2 -9.79599e-07 -1.09192e-05 -3.19313e-06 2 1e-06 0
0.2 -3.03841e-06 -1.0238e-05 -2.89819e-06 3 1e-06 0
0.2 -1.39811e-06 -1.10183e-05 -4.46166e-06 4 1e-06 0
0.2 -6.10523e-07 -1.09943e-05 -2.71348e-06 5 1e-06 0
0.25 -9.52861e-07 -8.43545e-06 -3.29886e-06 0 1e-06 0
0.25 -2.30274e-06 -9.86887e-06 -2.65481e-06 1 1e-06 0
0.25 -8.47413e-07 -1.10272e-05 -3.2141e-06 2 1e-06 0
0.25 -3.20993e-06 -1.02245e-05 -2.88157e-06 3 1e-06 0
0.25 -1.4183e-06 -1.10539e-05 -4.64888e-06 4 1e-06 0
0.25 -4.9155e-07 -1.1042e-05 -2.60872e-06 5 1e-06 0
0.3 -8.89103e-07 -8.31779e-06 -3.31648e-06 0 1e-06 0
0.3 -2.43509e-06 -9.77393e-06 -2.56479e-06 1 1e-06 0
0.3 -7.42641e-07 -1.11273e-05 -3.22852e-06 2 1e-06 0
0.3 -3.35462e-06 -1.02258e-05 -2.87966e-06 3 1e-06 0
0.3 -1.44936e-06 -1.10859e-05 -4.81775e-06 4 1e-06 0
0.3 -3.78528e-07 -1.10812e-05 -2.50807e-06 5 1e-06 0
0.35 -8.37325e-07 -8.20985e-06 -3.32964e-06 0 1e-06 0
0.35 -2.5325e-06 -9.68252e-06 -2.48823e-06 1 1e-06 0
0.35 -6.68144e-07 -1.12065e-05 -3.23581e-06 2 1e-06 0
0.35 -3.46702e-06 -1.02441e-05 -2.89748e-06 3 1e-06 0
0.35 -1.48814e-06 -1.11074e-05 -4.9571e-06 4 1e-06 0
0.35 -2.76568e-07 -1.11041e-05 -2.41805e-06 5 1e-06 0
