Time X Y Z ID Radius
0 0 3e-06 0 0 1e-06
0 2e-06 0 0 1 1e-07
0 -2e-06 0 0 2 1.1e-06
0.05 -4.42921e-08 2.93654e-06 4.20796e-08 0 1e-06
0.05 1.33471e-06 3.0321e-07 -1.95089e-09 1 1e-07
0.05 -1.87749e-06 4.27017e-08 -6.23876e-09 2 1.1e-06
0.1 -4.02128e-08 2.93386e-06 2.31935e-08 0 1e-06
0.1 3.33804e-07 7.63194e-07 -7.19095e-10 1 1e-07
0.1 -1.70141e-06 1.33799e-07 -1.35516e-08 2 1.1e-06
0.15 -1.01302e-07 2.93259e-06 2.62173e-08 0 1e-06
0.15 -5.89789e-07 1.21108e-06 -1.2577e-09 1 1e-07
0.15 -1.53561e-06 2.50359e-07 -2.01453e-08 2 1.1e-06
0.2 -1.18721e-07 2.93481e-06 -3.1461e-11 0 1e-06
0.2 -1.34085e-06 1.66182e-06 2.89327e-09 1 1e-07
0.2 -1.40419e-06 3.64683e-07 -2.21955e-08 2 1.1e-06
0.25 -1.45057e-07 2.89301e-06 -1.71489e-08 0 1e-06
0.25 -2.05582e-06 2.18709e-06 6.05715e-09 1 1e-07
0.25 -1.27949e-06 4.55656e-07 -2.16927e-08 2 1.1e-06
0.3 -1.75214e-07 2.87294e-06 -9.179e-09 0 1e-06
0.3 -2.68691e-06 2.70184e-06 1.10787e-08 1 1e-07
0.3 -1.16907e-06 5.61885e-07 -1.77281e-08 2 1.1e-06
0.35 -1.81639e-07 2.84563e-06 -2.27669e-08 0 1e-06
0.35 -3.04771e-06 3.04321e-06 1.58597e-08 1 1e-07
0.35 -1.09403e-06 6.78113e-07 -1.37187e-08 2 1.1e-06
0.4 -1.58468e-07 2.84225e-06 -6.66059e-08 0 1e-06
0.4 -3.00944e-06 3.13182e-06 1.73903e-09 1 1e-07
0.4 -1.05243e-06 8.20217e-07 -1.79567e-08 2 1.1e-06
0.45 -1.29165e-07 2.84223e-06 -8.85156e-08 0 1e-06
0.45 -2.65225e-06 3.01911e-06 -1.31946e-08 1 1e-07
0.45 -1.05439e-06 9.6361e-07 -1.84857e-08 2 1.1e-06
0.5 -8.81121e-08 2.98281e-06 -1.16188e-07 0 1e-06
0.5 -2.12456e-06 2.79502e-06 -3.41726e-08 1 1e-07
0.5 -1.05327e-06 1.09082e-06 -1.21464e-08 2 1.1e-06
0.55 -1.12907e-07 2.98157e-06 -1.15381e-07 0 1e-06
0.55 -1.63677e-06 2.58817e-06 -5.01269e-08 1 1e-07
0.55 -1.05606e-06 1.20628e-06 -1.01518e-08 2 1.1e-06
0.6 -4.39216e-08 3.07628e-06 -1.49217e-07 0 1e-06
0.6 -1.3464e-06 2.48638e-06 -6.30444e-08 1 1e-07
0.6 -1.05782e-06 1.2808e-06 -4.07859e-10 2 1.1e-06
0.65 -2.52816e-08 3.2007e-06 -1.92079e-07 0 1e-06
0.65 -1.23816e-06 2.51007e-06 -7.1403e-08 1 1e-07
0.65 -1.04125e-06 1.3275e-06 3.69627e-09 2 1.1e-06
0.7 7.14538e-08 3.2178e-06 -2.00819e-07 0 1e-06
0.7 -1.28492e-06 2.62811e-06 -6.09588e-08 1 1e-07
0.7 -1.0198e-06 1.33561e-06 1.39526e-09 2 1.1e-06
0.75 1.48296e-07 3.19862e-06 -1.9212e-07 0 1e-06
0.75 -1.45985e-06 2.83937e-06 -4.24934e-08 1 1e-07
0.75 -9.89659e-07 1.33138e-06 -1.20668e-08 2 1.1e-06
0.8 1.54251e-07 3.1632e-06 -2.3371e-07 0 1e-06
0.8 -1.72093e-06 3.10753e-06 -5.18592e-08 1 1e-07
0.8 -9.61262e-07 1.32587e-06 -2.65162e-08 2 1.1e-06
0.85 1.8379e-07 3.14985e-06 -2.4091e-07 0 1e-06
0.85 -1.9763e-06 3.34956e-06 -5.82713e-08 1 1e-07
0.85 -9.38051e-07 1.32949e-06 -3.76084e-08 2 1.1e-06
0.9 1.99193e-07 3.16709e-06 -1.90154e-07 0 1e-06
0.9 -2.14482e-06 3.5055e-06 -7.26331e-08 1 1e-07
0.9 -9.21626e-07 1.34997e-06 -4.86274e-08 2 1.1e-06
0.95 2.46699e-07 3.12963e-06 -2.19238e-07 0 1e-06
0.95 -2.14538e-06 3.54029e-06 -8.80222e-08 1 1e-07
0.95 -9.12205e-07 1.38538e-06 -5.97082e-08 2 1.1e-06
1 2.28077e-07 3.17958e-06 -2.25869e-07 0 1e-06
1 -1.98457e-06 3.45064e-06 -1.11502e-07 1 1e-07
1 -9.0487e-07 1.42983e-06 -6.3524e-08 2 1.1e-06
1.05 2.69731e-07 3.24517e-06 -1.91957e-07 0 1e-06
1.05 -1.75744e-06 3.28284e-06 -1.417e-07 1 1e-07
1.05 -9.05004e-07 1.47665e-06 -7.1681e-08 2 1.1e-06
1.1 2.39357e-07 3.25576e-06 -2.04142e-07 0 1e-06
1.1 -1.54655e-06 3.1449e-06 -1.67028e-07 1 1e-07
1.1 -9.03826e-07 1.50514e-06 -8.7843e-08 2 1.1e-06
1.15 3.20753e-07 3.35335e-06 -2.30802e-07 0 1e-06
1.15 -1.42843e-06 3.07832e-06 -1.90717e-07 1 1e-07
1.15 -8.9776e-07 1.52178e-06 -1.01144e-07 2 1.1e-06
1.2 2.77091e-07 3.33826e-06 -2.26992e-07 0 1e-06
1.2 -1.37896e-06 3.09476e-06 -2.05061e-07 1 1e-07
1.2 -8.98262e-07 1.5237e-06 -1.09233e-07 2 1.1e-06
1.25 3.12284e-07 3.33084e-06 -1.48682e-07 0 1e-06
1.25 -1.43728e-06 3.17185e-06 -2.25345e-07 1 1e-07
1.25 -8.79476e-07 1.50868e-06 -1.15072e-07 2 1.1e-06
1.3 3.26599e-07 3.36876e-06 -1.44524e-07 0 1e-06
1.3 -1.56048e-06 3.29146e-06 -2.48271e-07 1 1e-07
1.3 -8.608e-07 1.49605e-06 -1.19308e-07 2 1.1e-06
1.35 2.93144e-07 3.42655e-06 -1.26624e-07 0 1e-06
1.35 -1.6895e-06 3.41553e-06 -2.74007e-07 1 1e-07
1.35 -8.46508e-07 1.48824e-06 -1.27169e-07 2 1.1e-06
1.4 3.04556e-07 3.47751e-06 -1.17895e-07 0 1e-06
1.4 -1.80367e-06 3.50221e-06 -2.89023e-07 1 1e-07
1.4 -8.36665e-07 1.49278e-06 -1.43563e-07 2 1.1e-06
1.45 2.85277e-07 3.51725e-06 -9.47741e-08 0 1e-06
1.45 -1.84738e-06 3.53062e-06 -3.00879e-07 1 1e-07
1.45 -8.26138e-07 1.51522e-06 -1.57489e-07 2 1.1e-06
1.5 3.05841e-07 3.54188e-06 -1.0494e-07 0 1e-06
1.5 -1.83455e-06 3.51017e-06 -3.0443e-07 1 1e-07
1.5 -8.30861e-07 1.55328e-06 -1.78559e-07 2 1.1e-06
1.55 3.2641e-07 3.50644e-06 -1.13489e-07 0 1e-06
1.55 -1.75873e-06 3.45899e-06 -3.00393e-07 1 1e-07
1.55 -8.31122e-07 1.60057e-06 -1.87841e-07 2 1.1e-06
1.6 2.91998e-07 3.49806e-06 -1.00403e-07 0 1e-06
1.6 -1.65984e-06 3.39379e-06 -2.77386e-07 1 1e-07
1.6 -8.33611e-07 1.64265e-06 -1.9478e-07 2 1.1e-06
1.65 2.9328e-07 3.48795e-06 -8.07484e-08 0 1e-06
1.65 -1.59844e-06 3.34633e-06 -2.51922e-07 1 1e-07
1.65 -8.28786e-07 1.68263e-06 -2.07572e-07 2 1.1e-06
1.7 2.62618e-07 3.49189e-06 -7.22382e-08 0 1e-06
1.7 -1.57189e-06 3.3351e-06 -2.51739e-07 1 1e-07
1.7 -8.26565e-07 1.71747e-06 -2.1541e-07 2 1.1e-06
1.75 3.53948e-07 3.60039e-06 -8.06274e-08 0 1e-06
1.75 -1.58565e-06 3.38873e-06 -2.70459e-07 1 1e-07
1.75 -8.17207e-07 1.74594e-06 -2.23764e-07 2 1.1e-06
1.8 3.6735e-07 3.60065e-06 -5.77568e-08 0 1e-06
1.8 -1.63221e-06 3.47795e-06 -2.94637e-07 1 1e-07
1.8 -8.04059e-07 1.77451e-06 -2.36415e-07 2 1.1e-06
1.85 3.27143e-07 3.56687e-06 -7.82665e-08 0 1e-06
1.85 -1.68893e-06 3.59528e-06 -3.07848e-07 1 1e-07
1.85 -7.85937e-07 1.80783e-06 -2.477e-07 2 1.1e-06
1.9 3.89261e-07 3.66193e-06 -5.42322e-08 0 1e-06
1.9 -1.73875e-06 3.71521e-06 -3.23295e-07 1 1e-07
1.9 -7.73512e-07 1.84121e-06 -2.54613e-07 2 1.1e-06
1.95 3.71362e-07 3.68187e-06 -8.07769e-08 0 1e-06
1.95 -1.73692e-06 3.81769e-06 -3.278e-07 1 1e-07
1.95 -7.46176e-07 1.88611e-06 -2.5367e-07 2 1.1e-06
2 3.27211e-07 3.67086e-06 -9.75364e-08 0 1e-06
2 -1.70081e-06 3.8919e-06 -3.12697e-07 1 1e-07
2 -7.36039e-07 1.90932e-06 -2.54295e-07 2 1.1e-06
2.05 3.35408e-07 3.77565e-06 -1.01262e-07 0 1e-06
2.05 -1.61723e-06 3.90129e-06 -3.03185e-07 1 1e-07
2.05 -7.24774e-07 1.94264e-06 -2.52811e-07 2 1.1e-06
2.1 3.15624e-07 3.76101e-06 -1.33118e-07 0 1e-06
2.1 -1.52982e-06 3.88356e-06 -3.03004e-07 1 1e-07
2.1 -7.2936e-07 1.94998e-06 -2.46027e-07 2 1.1e-06
2.15 4.02622e-07 3.92401e-06 -1.50233e-07 0 1e-06
2.15 -1.47891e-06 3.83383e-06 -3.20073e-07 1 1e-07
2.15 -7.2254e-07 1.96641e-06 -2.3027e-07 2 1.1e-06
2.2 4.1639e-07 3.8318e-06 -1.87611e-07 0 1e-06
2.2 -1.44739e-06 3.77771e-06 -3.38827e-07 1 1e-07
2.2 -7.13909e-07 1.99649e-06 -2.17969e-07 2 1.1e-06
2.25 4.12772e-07 3.81882e-06 -1.71269e-07 0 1e-06
2.25 -1.43026e-06 3.73182e-06 -3.54638e-07 1 1e-07
2.25 -7.03139e-07 2.02997e-06 -2.03529e-07 2 1.1e-06
2.3 3.94375e-07 3.78643e-06 -1.84902e-07 0 1e-06
2.3 -1.47048e-06 3.71876e-06 -3.77442e-07 1 1e-07
2.3 -7.06959e-07 2.01485e-06 -1.89773e-07 2 1.1e-06
2.35 4.97424e-07 3.90675e-06 -1.48225e-07 0 1e-06
2.35 -1.56208e-06 3.7194e-06 -4.09822e-07 1 1e-07
2.35 -6.93937e-07 2.00325e-06 -1.71729e-07 2 1.1e-06
2.4 5.21269e-07 3.94621e-06 -1.75201e-07 0 1e-06
2.4 -1.61495e-06 3.73699e-06 -4.43586e-07 1 1e-07
2.4 -6.80472e-07 1.98967e-06 -1.53698e-07 2 1.1e-06
2.45 4.91967e-07 3.91727e-06 -1.32505e-07 0 1e-06
2.45 -1.61921e-06 3.75746e-06 -4.71685e-07 1 1e-07
2.45 -6.67632e-07 1.97814e-06 -1.39147e-07 2 1.1e-06
2.5 4.6877e-07 3.9211e-06 -4.85098e-08 0 1e-06
2.5 -1.58852e-06 3.759e-06 -5.02985e-07 1 1e-07
2.5 -6.48198e-07 1.98673e-06 -1.24689e-07 2 1.1e-06
2.55 4.48225e-07 3.98446e-06 -3.0132e-08 0 1e-06
2.55 -1.54803e-06 3.75324e-06 -5.34561e-07 1 1e-07
2.55 -6.32934e-07 2.01848e-06 -1.22926e-07 2 1.1e-06
2.6 4.24758e-07 3.95846e-06 -8.42866e-08 0 1e-06
2.6 -1.50534e-06 3.73371e-06 -5.4894e-07 1 1e-07
2.6 -6.19182e-07 2.04533e-06 -1.34573e-07 2 1.1e-06
2.65 4.16351e-07 3.9008e-06 -8.81383e-08 0 1e-06
2.65 -1.46871e-06 3.7207e-06 -5.58733e-07 1 1e-07
2.65 -6.05198e-07 2.06992e-06 -1.40649e-07 2 1.1e-06
2.7 4.96924e-07 4.02301e-06 -1.0908e-07 0 1e-06
2.7 -1.44864e-06 3.73301e-06 -5.74321e-07 1 1e-07
2.7 -5.82826e-07 2.09753e-06 -1.52365e-07 2 1.1e-06
2.75 5.60349e-07 4.05867e-06 -1.08473e-07 0 1e-06
2.75 -1.42078e-06 3.75756e-06 -5.93327e-07 1 1e-07
2.75 -5.6377e-07 2.12734e-06 -1.43818e-07 2 1.1e-06
2.8 4.9545e-07 3.98115e-06 -9.79125e-08 0 1e-06
2.8 -1.40114e-06 3.81191e-06 -6.40557e-07 1 1e-07
2.8 -5.34514e-07 2.14868e-06 -1.40491e-07 2 1.1e-06
2.85 5.08203e-07 4.00226e-06 -9.70946e-08 0 1e-06
2.85 -1.40229e-06 3.87311e-06 -6.847e-07 1 1e-07
2.85 -4.96302e-07 2.16382e-06 -1.33484e-07 2 1.1e-06
2.9 5.84428e-07 4.06918e-06 -8.49417e-08 0 1e-06
2.9 -1.40495e-06 3.93285e-06 -7.06621e-07 1 1e-07
2.9 -4.61569e-07 2.18744e-06 -1.33191e-07 2 1.1e-06
2.95 5.33944e-07 4.04997e-06 -3.45737e-08 0 1e-06
2.95 -1.39538e-06 3.97271e-06 -7.2052e-07 1 1e-07
2.95 -4.30321e-07 2.21015e-06 -1.29286e-07 2 1.1e-06
3 6.05258e-07 4.13942e-06 -3.07322e-08 0 1e-06
3 -1.38084e-06 3.98292e-06 -7.27638e-07 1 1e-07
3 -4.03381e-07 2.23147e-06 -1.12573e-07 2 1.1e-06
3.05 5.83496e-07 4.14125e-06 -1.58534e-08 0 1e-06
3.05 -1.34e-06 3.96891e-06 -7.25409e-07 1 1e-07
3.05 -3.881e-07 2.2502e-06 -1.099e-07 2 1.1e-06
3.1 5.87994e-07 4.06059e-06 -2.91058e-08 0 1e-06
3.1 -1.26788e-06 3.9483e-06 -7.05164e-07 1 1e-07
3.1 -3.90081e-07 2.249e-06 -1.09908e-07 2 1.1e-06
3.15 6.53289e-07 4.1548e-06 -4.78606e-09 0 1e-06
